country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,0.63924577,0.830421711,0.213400818,0.685990218,0.561417509,0.823351231,0.613337153,0.693199764,0.713137003,0.814431526,1.030499065,0.670035652,0.647431862,0.744002297
Ethiopia,0.099266475,0.108608395,0.115745768,0.111263339,0.131820192,0.100302898,0.212800959,0.199411828,0.243231309,0.167639474,0.12863749,0.345764077,0.256230257,0.234366191
Falkland Islands,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,
Fiji,0.069368385,0.044436268,0.099350553,0.131424705,0.105252646,0.118445676,0.135762956,0.150852244,0.11315795,0.14829348,0.034931923,0.077077798,0.170577209,0.19843411
Finland,0.698248787,0.658704177,0.413952257,0.678911002,1.065743917,0.841827269,0.701666156,0.929356643,0.81632788,0.775309708,0.737689705,0.742312187,0.688298051,0.729703664
France,0.205091598,0.201918666,0.157261159,0.453633562,0.276408107,0.328002837,0.293417952,0.518098702,0.399529154,0.853639719,0.381777467,0.401032569,0.180847712,0.212777545
French Guiana,0.037159185,0.030586555,0.023142713,0.058865285,0.034798323,0.031055355,0.040770972,0.0639897,0.035061154,0.039270574,0.03318486,0.119723328,0.036357815,0.04381523
French Polynesia,,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0,0,0,0,8.842006771,0,0,0,0
Gabon,0.06108539,0.056119271,0.068226105,0.040418793,0.071672699,0.078158161,0.066818477,0.070346523,0.073918119,0.043224264,0.073567613,0.070772255,0.180012205,0.168852626
Gambia,0.074867667,0.911184659,0.234338609,1.422135648,0.130185605,0.141576374,1.087073837,6.687517218,0.198534751,0.519096162,0.68023849,0.891830228,0.265316892,0.25554732
Georgia,0.021197051,0.017059311,0.00928593,0.062552424,0.017458644,0.016897472,0.031560613,0.023711275,0.014258426,0.026031905,0.017163368,0.015041762,0.008021764,0.003337854
Germany,0.122015456,0.122153842,0.05156523,0.359777581,0.317362454,0.340823348,0.745336471,0.493085009,0.230206107,0.604574921,0.274232848,0.208203422,0.123850316,0.12751959
Ghana,0.627460084,1.127063487,0.358775605,0.253393842,0.594428344,0.390136962,0.577547395,0.544143339,0.54994734,0.280347959,0.521050473,0.526562383,1.167803092,1.344384917
Gibraltar,0.156262122,0.104151652,0,0,0,0,0,0,0,0,0,0.052078517,0,0
Greece,0.343584404,0.139659961,0.069824723,0.185371668,0.113798768,0.200086489,1.254988919,0.57737856,0.178810177,0.212095455,0.168877492,0.360896756,0.160987642,0.073274493
Greenland,,,,,,,,,,,,,,
Grenada,0.114987042,0.230731168,0.250035963,2.21142777,0.166422538,0.110505299,0.237653152,0.224925543,0.328619648,0.559170999,0.14083356,0.139256345,0.088862581,0.283533131
Guadeloupe,0.338444071,0.053700469,0.081130465,0.201745793,0.23542128,0.065713231,0.167060659,0.142319962,0.124869509,0.134433055,0.07799556,0.311132385,0.179340004,0.191520132
Guam,,,,,,,,,,,,,,
Guatemala,0.692921174,0.722702055,1.276068342,0.733729613,1.31059061,0.683153545,1.644983617,1.00309382,1.130102798,0.775569401,0.527545856,1.092418424,0.716831607,0.632409468
Guernsey,0.063497869,0.003338248,0,0.006680912,0,0.010028631,0,0.016711566,0.05345019,0.010023441,0.033431066,0.040093276,0.006679227,0.003341602
Guinea,0.227576213,0.35458985,0.11310865,0.210282559,0.178696332,0.187577128,0.414473724,0.263265284,0.286615509,0.196642687,0.338716415,0.300085132,1.791553354,1.058958423
Guinea-Bissau,0.220880899,0.567905263,0.095430476,0.330749142,0.367175018,0.188703207,0.565135483,0.303456201,0.744404941,0.458095659,0.400481495,0.32821948,1.934700564,0.964592991
Guyana,0.052852378,0.025412616,0.039053405,0.021385317,0.03070192,0.031236853,0.027635378,0.049800968,0.043519698,0.053163065,0.044024865,0.069023543,0.037467279,0.042556062
Haiti,0.287613925,0.247024126,0.1246781,0.277624655,0.236811888,0.135476201,0.242011417,0.255341552,0.287163563,0.242852903,0.298752544,0.497791985,0.370649008,0.349304213
Heard Island and McDonald Islands,,,,,,,,,,,,,,
Honduras,0.547513488,0.40731338,0.434401631,0.341775572,0.522854357,0.537833052,0.547930587,0.559384526,0.665515918,0.595380742,0.679176874,0.417357757,0.563683922,0.576295205
Hong Kong,0.012863439,0.02516113,0.011374146,0.030443233,0.014131798,0.033553112,0.047686526,0.042737392,0.080762169,0.020789539,0.024930792,0.022867105,0.008500626,0.028028395
Hungary,0.378018841,0.387434607,0.287818965,0.603577783,0.52258599,0.40144469,0.470083456,0.447882092,0.505846745,0.565887452,0.413330447,0.599155928,0.449859283,0.558052252
Iceland,,,,,,,,,,,,,,
India,0.160624581,0.136567365,0.123005013,0.190936247,0.160992613,0.173528074,0.190327206,0.221327689,0.203942298,0.131907615,0.227710192,0.24479243,0.208196221,0.290248987
Indonesia,0.462954066,0.532341419,0.338813659,0.801700925,0.735524086,0.891398237,0.862769518,0.867955855,1.209238029,0.795570386,0.959635111,1.405305301,0.708201336,0.925894321
Iran,0.019200145,0.032208876,0.018864708,0.015938508,0.009991607,0.008130222,0.007568362,0.021609239,0.011046406,0.011306412,0.013796609,0.023525879,0.004171165,0.004469866
Iraq,0.091560932,0.060672913,0.112071269,0.025260159,0.02603096,0.035649667,0.059007466,0.1017089,0.090246909,0.076643053,0.018796702,0.052171694,0.014464878,0.008537095
Ireland,1.135908357,0.629570372,0.268885859,0.815828209,0.961719033,0.623628422,1.388106697,0.822721666,0.859193638,0.458033743,0.369407764,0.692259838,0.567133064,0.504875997
Isle of Man,0.120869008,0.103387343,0.013749546,0.064907465,0.080906179,0.198563803,0.229916324,0,0.35649621,0.377966488,0.091089695,0.236836532,0.127352175,0.279849586
Israel,0.492308372,0.379644115,0.101769912,0.227943172,0.463627468,0.418128277,0.16211939,0.219032275,0.314907257,0.301113106,3.601314966,0.166630612,0.153707845,0.379010756
Italy,0.105929154,0.117300928,0.038772469,0.18483689,0.116923569,0.095524225,0.124370682,0.162610563,0.158737662,0.169615234,0.1228745,0.230599887,0.166592855,0.15438004
Jamaica,0.162178118,0.214404593,0.133943319,0.507671719,0.988737807,0.364073147,0.165258872,0.263770882,0.460449979,0.307759628,0.310398007,0.338827472,0.172774588,0.301938672
Japan,0.090867334,0.099116178,0.074836746,0.141403621,0.137891912,0.147701813,0.172756806,0.154769093,0.154980083,0.135464352,0.136260454,0.173083803,0.088050377,0.08457474
Jersey,0.238477984,0.052283175,0,0.075129598,0,0.013076886,0,0.133940179,0.081642557,0.473584589,0.205727907,0.431081672,0.032674871,0.019605139
Jordan,0.022982051,0.008633548,0.002873025,0.100602656,0.002879386,0.034496721,0.017254354,0,0,0.002875085,0,0.00574755,0,0.037324925
Kazakhstan,0.106944409,0.069616443,0.079051715,0.13002342,0.074679808,0.074095216,0.10861781,0.10727567,0.151710384,0.073322041,0.114439697,0.088241516,0.067537328,0.011518348
Kenya,0.573418305,0.611407811,0.408633615,0.511928254,0.384145187,0.622515922,0.786712115,0.579258438,0.533211326,0.683991345,0.52145402,0.538948011,0.408667356,0.380304466
Kiribati,,,,,,,,,,,,,,
Kosovo,0.303114801,0.058047982,0.070585317,0.154727621,0.084767933,0.140451797,0.219062675,0.308775249,0.209875653,0.126484648,0.216626334,0.469570468,0.20737178,0.154610751
Kuwait,,,,,,,,,,,,,,
Kyrgyzstan,0.087390036,0.045512976,0.01643005,0.0284765,0.012183338,0.016449607,0.015906196,0.015822611,0.02979243,0.03864029,0.016580314,0.012543204,0.00397013,0.002000271
Laos,0.190783773,0.292543802,0.455351071,0.336007806,0.357226197,0.641527089,0.695538255,0.421284488,0.761233838,0.873786506,0.684787715,0.771610654,1.075310796,0.999199935
Latvia,0.700930578,0.821047597,0.600010432,0.862215889,1.145692247,1.094508991,1.016706821,0.824772549,0.982583541,1.365049902,1.258970276,0.964834253,0.78138117,0.759725291
Lebanon,0.45937755,0.123666262,0.128689847,0.168026391,0.460591078,0.241365627,0.419010285,0.604461992,0.522227357,0.177169063,0.213846738,0.259996655,0.244390812,0.154909741
Lesotho,0.01852308,0.043659497,0.040370224,0.072226497,0.028355064,0.038330942,0.045792234,0.089640439,0.079448943,0.06129744,0.064284498,0.053619616,0.129145262,0.271896442
Liberia,0.310991542,0.607202951,0.230213378,0.066421833,0.120661735,0.38596097,0.471853659,0.385440356,0.800618727,0.216923394,0.367026051,0.768418631,1.657328587,1.19218375
Libya,0.251027046,0.588988859,0.369759738,0.150199762,0.319416416,0.238583979,0.06279686,0.083705097,0.080829762,0.137776564,0.138849674,0.072217765,1.189791844,0.052246441
Liechtenstein,0.037719684,0,0,0.103894537,0.06094573,0.127769897,0.092911953,0.097513983,0.051645087,0.03075705,0.020302612,0.042367002,0.021472342,0.012183936
Lithuania,0.340590061,0.442860936,0.381547945,0.560600911,0.872607308,0.747171645,0.686344147,0.650770074,0.616524109,0.927420605,0.930689477,0.753651271,0.596048539,0.544329051
Luxembourg,0.067069696,0.089367494,0.099268365,0.305296265,0.068150017,0.358687945,0.499251358,0.957118624,0.213595227,0.862824561,0.435692472,0.433685078,0.346938456,0.329853491
Macau,0.355325009,0.230951717,0,0,0,0.870434956,0.888278275,0.071064989,0.444132015,0,0.177647592,0.177650603,0.017764877,0.373088193
Macedonia,0.263512349,0.113878585,0.114523891,0.281497383,0.167159506,0.261244003,0.494098248,0.506627875,0.550180776,0.284409348,0.275899113,0.375944701,0.14699047,0.20003656
Madagascar,0.507300619,0.521072681,0.491497212,0.477479987,0.546220656,0.414408032,1.100164197,0.720504352,0.796546818,0.625508155,0.946984842,0.749475055,1.746390704,1.857903242
Malawi,0.163515304,0.275309374,0.467419767,0.375393804,0.620675791,0.365571141,0.492492288,0.639028113,0.26485359,0.261670896,0.539921423,0.799941665,0.694094185,1.044808152
Malaysia,1.129862097,1.061197732,0.625124019,1.195803802,1.276061545,1.134899199,1.377097338,1.250746357,2.116852579,1.462793169,1.573716014,2.13435581,1.132234241,1.677223339
Maldives,0.081449346,0.078782171,0.036791959,0.040729254,0.061770474,0.067075531,0.106346632,0.114235873,0.088003145,0.053842844,0.181360436,0.042081155,0.06826809,0.053806036
Mali,1.386343585,0.69842193,0.136438807,0.610854195,0.331571282,0.413214716,0.498385759,0.420928229,0.628315978,0.214719913,0.660551339,0.314451419,1.632719548,0.855726573
Malta,1.009465246,1.41348022,0.100879771,2.019112083,0.302574403,0.504675409,0.656228605,0.757319023,1.362276792,0.555159787,1.160180663,0.252385041,0.201957335,0
Marshall Islands,,,,,,,,,,,,,,
Martinique,0.258494411,0.065455404,0.386431038,0.223704067,0.2743131,0.122141493,0.208540941,0.372570812,0.266907251,0.100960533,0.204947619,0.413163283,0.196061662,0.188198548
Mauritania,95.56436072,0,3.770734389,0.221235784,0.221816571,0,0,0,0,0,0,0,0,0
Mauritius,0.219594398,0.216577178,0.167773044,0.461157871,0.244319009,0.199828606,0.184714703,0.264548375,0.339187716,0.032630992,0.683431381,0.213828759,0.307511319,0.745744815
Mayotte,0.093226455,0.062153138,0.092104128,0.015203282,0.102176191,0.123854693,0.059698025,0.127441909,0.016989772,0.095020644,0.006931215,0.39029986,0.9755643,1.892113898
Mexico,0.297645035,0.29864286,0.286843403,0.319337557,0.388932175,0.336641423,0.411016968,0.346669736,0.528779017,0.313486814,0.351171503,0.32857387,0.411857148,0.245776054
Micronesia,0,0,0,0,0,0,0,0,0,1.242155597,0,0,0,0
Moldova,0.042872278,0.061542927,0.028104183,0.074090064,0.030868759,0.048300107,0.06429948,0.035014233,0.052633451,0.050546966,0.053539432,0.500241682,0.046512702,0.053538097
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0.51477589,0.457845868,0.939595868,1.303100944,0.182541057,0.323906158,1.175458493,1.369067513,1.999591126,0.214264304,0.086799674,0.846855001,0.015372314,0.011490438
Montenegro,0.139266583,0.029138499,0.033042411,0.148477631,0.027948678,0.028477509,0.17056451,0.231846589,0.091683181,0.034219069,0.080189026,0.204182575,0.389514249,0.188482032
Montserrat,0.154468374,0.035411243,0.04988641,0.167376698,0.531200075,0.275232506,0.228560911,0.143237796,0.106219787,2.385191292,0.138419527,0.048277556,0.019315396,0.006438157
Morocco,0.28806314,0.604949845,0.314928107,0.222116299,0.235345779,0.342565941,0.387479222,0.525690467,0.184621429,0.152347228,0.52306866,0.260556689,0.128874162,0.218553463
Mozambique,0.210156042,0.368790733,0.275341873,0.372542544,0.520569562,0.59576079,0.478974793,0.708171609,0.752279811,0.672943357,0.519713427,0.484055821,0.562664066,0.565063057
Myanmar,0.104519829,0.154259626,0.180173467,0.238417876,0.214288964,0.297386776,0.342028882,0.27813134,0.504660523,0.396423908,0.316617375,0.525383626,0.578996823,0.605331734
Namibia,10.70700001,2.769368491,5.362922291,1.575952697,1.656254784,0.438674306,2.058367059,0.864384786,2.204684716,0.698363072,1.837116224,0.683162089,0.068598227,0.106664864
Nauru,,,,,,,,,,,,,,
Nepal,0.029513331,0.041244467,0.044408445,0.048044372,0.053445035,0.063068881,0.067146042,0.057970518,0.107035372,0.045488868,0.054571561,0.097752497,0.016188002,0.020189422
Netherlands,0.124869218,0.139308708,0.052929269,0.21863508,0.247649878,0.250028972,0.27899082,0.19136459,0.261898474,0.572014736,0.194118027,0.159843779,0.085972504,0.098546956
New Caledonia,0.048455604,0.043522499,0.061368939,0.104851105,0.102176993,0.148197358,0.06770065,0.036226409,0.067747656,0.03821494,0.049235687,0.058203842,0.158410444,0.127185148
New Zealand,0.44787811,0.560531742,0.397121079,0.537905618,0.465564822,0.5466926,0.555337916,0.544068541,0.52844679,0.497536415,0.531376692,0.616093789,0.687334741,0.618912736
Nicaragua,0.567196498,0.69687407,0.603894049,0.270866248,1.223514921,0.499889549,1.137996717,0.691984861,1.068526034,2.732732936,0.556651891,0.433641032,0.566274118,0.785053982
Niger,6.449744408,29.0468646,9.644671856,3.228286762,0,0,3.22801139,0,0,0,0,3.210512176,0,0
Nigeria,0.432423363,0.322493753,0.133420427,0.146026264,0.132324361,0.260833738,0.24492026,0.273790371,0.252121849,0.3267087,0.537321272,0.348562944,0.4328098,0.53203257
Niue,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,
North Korea,0.22988182,0.103114447,0.141422785,0.218585797,0.318076961,0.242096051,0.255741107,0.361462505,0.252361823,0.366035378,0.104523896,0.321024476,0.096816902,0.162115904
Northern Mariana Islands,,,,,,,,,,,,,,
Norway,0.19204337,0.227494888,0.12666274,0.288719312,0.21330332,0.347671349,0.272492584,0.289044383,0.199446362,0.342950315,0.280392307,0.255936989,0.282789005,0.266539893
Oman,0,0,0,0,0,0,0,19.24399426,0,0,0,0,0,0
Pakistan,0.022251997,0.033210029,0.065569326,0.119353157,0.096886269,0.137466161,0.114796589,0.10771641,0.094084661,0.073592891,0.04734909,0.024404598,0.006131933,0.003932775
Palau,0.126291278,0.182488093,0.042714079,0.072290982,0.105201843,0.084498973,0.21965566,0.156421602,0.073219829,0.079318771,0.074138082,0.067860731,0.051605518,0.227441951
Palestina,0.360960465,0.297688733,0.234009019,0.191990187,0.074292322,0.117660581,0.191903019,0.414139546,0.202466556,0.213173469,0.042508702,0.074455893,0.064154605,0.117201756
Panama,0.320394322,0.336814428,0.19793339,0.295341919,0.216633693,0.602099057,0.362152346,0.700730655,0.648132232,0.27019527,0.405298775,0.298995568,0.24631286,0.18520737
Papua New Guinea,0.083864501,0.127173969,0.07407312,0.135920117,0.090878078,0.131340809,0.114540584,0.165476518,0.114673419,0.16014138,0.123577387,0.170807331,0.131978706,0.194636293
Paraguay,0.618346081,0.803085277,1.100179475,1.018023951,1.081006365,0.610187124,1.754201953,1.5489353,1.453618172,1.820400999,1.881706203,2.099940339,1.311128861,1.257981991
Peru,0.110175873,0.103058109,0.094621416,0.12978703,0.208819893,0.113906291,0.14826964,0.162187259,0.227899936,0.182313153,0.160479199,0.352852136,0.268163445,0.235103543
Philippines,0.189066136,0.1737108,0.189007076,0.261185993,0.267651376,0.308765261,0.357527547,0.20808603,0.327373881,0.551895671,0.178784466,0.320367857,0.31652149,0.442519901
Pitcairn Islands,,,,,,,,,,,,,,
Poland,0.182546564,0.29710602,0.318470278,0.400846223,0.788020773,0.360352242,0.548675645,0.458543098,0.448969991,0.686835928,0.54187072,0.525150333,0.335002876,0.442883966
Portugal,1.059959749,1.515901227,1.165713264,2.402388546,1.690976504,1.848713966,1.577512567,1.459944554,1.731168166,2.102129736,1.158435431,2.529276757,2.253403199,2.115749162
