Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ad Daqahliyah,0.079060276,0.038400705,0.038400705,0.074542546,0.03162411,0.024847515,0.051953896,0.074542546,0.02710638,0.051953896,0.060989356,0.088095736,0.01807092,0.01807092
Ad Dawhah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamaoua,0.219695069,0.100598924,0.086084358,0.105496115,0.151576912,0.104434073,0.23869381,0.078856576,0.135646291,0.108682239,0.049148917,0.171814702,0.123078801,0.061421396
Adamawa,0.297123419,0.035492559,0.059830313,0.039548851,0.022309608,0.136899869,0.023323681,0.077069556,0.032450339,0.015211097,0.162251697,0.025351828,0.04563329,0.01318295
Adana,0.255592845,0.3587268,0.581249518,0.435516756,0.482039138,0.547618881,0.649071304,0.635619049,0.469707904,0.764536493,0.614319645,0.908027213,0.579567986,0.528001009
Addis Ababa,3.880373625,0.415754317,0.277169545,0.138584772,5.681975665,0.554339089,0.831508634,0.415754317,0.692923862,1.80160204,1.247262951,7.067823388,1.524432495,2.633110674
Adiyaman,0.380135632,0.152054253,0.038013563,0.152054253,0.076027126,0.152054253,0.076027126,0.190067816,0.152054253,0.038013563,0.076027126,0.152054253,0,0.418149196
Adjumani,0.097003339,0.017963581,0.037124735,0.04850167,0.021556298,0.064668893,0.130535358,0.150295297,0.138918362,0.022155084,0.329931111,0.170055237,0.017364795,0.026346586
Adjuntas,0.09796347,0.117556164,0.156741552,0.19592694,0.084901674,0.124087062,0.09796347,0.189396042,0.143679756,0.084901674,0.274297716,0.117556164,0.013061796,0.019592694
Adrar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adygey,0.013513727,0.025676082,0.008378511,0.012432629,0.019189493,0.012702904,0.027297729,0.032432945,0.016486747,0.013784002,0.012432629,0.038108711,0.009189334,0.004324393
Afar,0.231722859,0.231722859,0,0.231722859,0,0.231722859,0,0,0,0,0.231722859,0,0,0
Afyon,0.203038564,0.272611219,0.103649057,0.100809357,0.086610856,0.100809357,0.247053918,0.150504111,0.27687077,0.151923961,0.160443061,0.222916466,0.105068907,0.132046059
Aga Buryat,0.217869005,0.259569314,0.896858818,2.224620829,2.415293981,0.219379886,1.378225428,3.618559418,0.066176577,0.498288474,0.354754802,1.419019209,0.06043523,0.173449111
Agadez,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agana Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agcab?di,0.02816354,0,0,0,0,0,0,0.02816354,0,0,0,0,0,0
Agdam,0.074869073,0.018717268,0,0,0.037434536,0.131020877,0.018717268,0.093586341,0,0.056151805,0.056151805,0,0,0.018717268
Agdas,0.339635458,0.212272161,0.05660591,0.509453187,0.070757387,0.042454432,0.169817729,0.240575116,0.084908864,0.127363297,0.05660591,0.028302955,0,0
Agn‹_by,0.85654577,0.782154782,0.538343564,0.207198725,0.265615473,0.492636248,0.324148821,0.651679051,0.948543403,0.658675069,1.069108109,0.708813196,1.988851239,3.119640905
Agri,0,0.156118275,0.156118275,0.31223655,0,0,0,0,0,0,0.31223655,0,0,0
Agstafa,0,0.290040026,0,0,0,0.145020013,0.145020013,0.145020013,0,0.145020013,0.145020013,0,0,0
Agsu,0.010652089,0.106520889,0.010652089,0.042608356,0.031956267,0.031956267,0.010652089,0.010652089,0.021304178,0.042608356,0,0.021304178,0,0
Aguada,0.189288779,0.157740649,0.252385039,0.630962597,0.567866337,0.220836909,0.189288779,0.630962597,0.378577558,0.220836909,0.189288779,0.06309626,0.03154813,0.03154813
Aguadilla,0.244542624,0.40757104,0.448328144,1.100441807,1.059684703,0.570599455,0.366813936,0.855899183,0.692870767,0.244542624,0.285299728,0.163028416,0.081514208,0.040757104
Aguas Buenas,0.052221957,0.19148051,0.19148051,0.243702467,0.208887829,0.208887829,0.156665872,0.278517105,0.313331743,0.087036595,0.104443914,0.104443914,0.017407319,0.174073191
